timestamp,can_id,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7
192.68755,111,29,204,143,73,252,249,47,128
192.88434999999998,101,0,0,0,0,0,0,0,0
192.88555,111,29,180,207,73,0,246,47,128
193.08249999999998,101,0,0,0,0,0,0,0,0
193.08384999999998,111,31,220,207,73,0,254,47,128
193.28055,101,0,0,0,0,0,0,0,0
193.2807,111,31,196,143,201,3,18,48,128
193.47854999999998,101,0,0,0,0,0,0,0,0
193.47955,111,25,172,143,73,253,1,80,128
193.67655,101,0,0,0,0,0,0,0,0
193.67755,111,29,212,207,73,249,237,47,128
193.87455,101,0,0,0,0,0,0,0,0
193.87555,111,31,180,207,201,255,245,15,128
194.0728,101,0,0,0,0,0,0,0,0
194.07395,111,29,212,143,201,253,9,48,128
194.27055,101,0,0,0,0,0,0,0,0
194.27159999999998,111,29,188,239,73,3,6,240,127
194.46855,101,0,0,0,0,0,0,0,0
194.46955,111,33,204,15,74,255,241,47,128
194.66655,101,0,0,0,0,0,0,0,0
194.66754999999998,111,35,220,175,73,1,230,79,128
194.86454999999998,101,0,0,0,0,0,0,0,0
194.86554999999998,111,31,180,143,73,2,246,15,128
195.0626,101,0,0,0,0,0,0,0,0
195.0638,111,27,212,143,73,253,13,80,128
195.26055,101,0,0,0,0,0,0,0,0
195.26155,111,27,180,239,201,253,253,15,128
195.45855,101,0,0,0,0,0,0,0,0
195.45954999999998,111,29,188,15,202,249,237,79,128
195.65654999999998,101,0,0,0,0,0,0,0,0
195.65755,111,33,204,175,73,254,241,79,128
195.8541,111,33,204,239,201,1,254,47,128
195.85469999999998,101,0,0,0,0,0,0,0,0
196.05235,111,33,188,143,201,254,13,48,128
196.05294999999998,101,0,0,0,0,0,0,0,0
196.2501,111,29,188,143,73,4,6,240,127
196.2507,101,0,0,0,0,0,0,0,0
196.44809999999998,111,29,212,175,201,253,241,47,128
196.44875,101,0,0,0,0,0,0,0,0
196.6461,111,31,188,207,201,2,254,47,128
196.64675,101,0,0,0,0,0,0,0,0
196.8441,111,33,212,175,201,0,254,47,128
196.84475,101,0,0,0,0,0,0,0,0
197.04219999999998,111,29,188,143,201,251,13,48,128
197.0428,101,0,0,0,0,0,0,0,0
197.24009999999998,111,25,164,175,201,254,249,15,128
197.2407,101,0,0,0,0,0,0,0,0
197.4381,111,29,204,143,73,248,237,111,128
197.43869999999998,101,0,0,0,0,0,0,0,0
197.6361,111,27,172,207,201,0,254,79,128
197.6367,101,0,0,0,0,0,0,0,0
197.83409999999998,111,31,204,175,201,2,2,48,128
197.8347,101,0,0,0,0,0,0,0,0
198.0323,111,29,196,207,201,254,9,16,128
198.03289999999998,101,0,0,0,0,0,0,0,0
198.2301,111,31,196,15,74,5,250,175,127
198.23069999999998,101,0,0,0,0,0,0,0,0
198.4281,111,33,220,175,201,254,253,47,128
198.4287,101,0,0,0,0,0,0,0,0
198.62609999999998,111,31,188,175,73,3,2,48,128
198.6267,101,0,0,0,0,0,0,0,0
198.8241,111,29,220,143,201,0,6,48,128
198.82469999999998,101,0,0,0,0,0,0,0,0
199.0222,111,27,180,175,201,249,237,47,128
199.0228,101,0,0,0,0,0,0,0,0
199.2201,111,29,188,239,73,254,237,239,127
199.22074999999998,101,0,0,0,0,0,0,0,0
199.41809999999998,111,35,212,207,201,253,253,79,128
199.41875,101,0,0,0,0,0,0,0,0
199.6161,111,33,180,175,73,3,250,15,128
199.61695,101,0,0,0,0,0,0,0,0
199.8141,111,29,212,175,201,254,13,48,128
199.81494999999998,101,0,0,0,0,0,0,0,0
200.01235,111,27,188,143,73,2,14,16,128
200.01315,101,0,0,0,0,0,0,0,0
200.21009999999998,111,33,196,47,74,255,241,47,128
200.21095,101,0,0,0,0,0,0,0,0
200.4081,111,33,212,207,73,0,234,47,128
200.40895,101,0,0,0,0,0,0,0,0
200.6061,111,29,172,111,201,2,2,48,128
200.60694999999998,101,0,0,0,0,0,0,0,0
200.80409999999998,111,25,212,143,73,251,253,47,128
200.80495,101,0,0,0,0,0,0,0,0
201.0023,111,29,188,239,73,255,245,239,127
201.00315,101,0,0,0,0,0,0,0,0
201.2001,111,31,196,79,74,248,237,111,128
201.20094999999998,101,0,0,0,0,0,0,0,0
201.3981,111,37,204,175,73,1,242,79,128
201.39894999999999,101,0,0,0,0,0,0,0,0
201.59609999999998,111,33,188,143,201,3,254,15,128
201.59695,101,0,0,0,0,0,0,0,0
201.7941,111,31,228,175,73,254,253,47,128
201.79495,101,0,0,0,0,0,0,0,0
201.9923,111,27,172,175,201,0,2,240,127
201.99325,101,0,0,0,0,0,0,0,0
202.1901,111,31,212,207,73,255,245,15,128
202.19109999999998,101,0,0,0,0,0,0,0,0
202.38809999999998,111,31,188,175,73,2,10,48,128
202.38909999999998,101,0,0,0,0,0,0,0,0
202.5861,111,29,204,175,201,255,1,48,128
202.5871,101,0,0,0,0,0,0,0,0
202.7841,111,27,180,175,201,250,245,47,128
202.7849,101,0,0,0,0,0,0,0,0
202.98229999999998,111,29,180,15,202,255,241,239,127
202.98329999999999,101,0,0,0,0,0,0,0,0
203.18009999999998,111,35,212,175,73,0,6,48,128
203.1811,101,0,0,0,0,0,0,0,0
203.3781,111,33,180,175,201,3,18,48,128
203.3789,101,0,0,0,0,0,0,0,0
203.5761,111,29,212,111,201,1,254,47,128
203.57684999999998,101,0,0,0,0,0,0,0,0
203.7741,111,27,188,143,73,252,237,47,128
203.77485,101,0,0,0,0,0,0,0,0
203.97234999999998,111,31,204,15,202,1,242,207,127
203.9731,101,0,0,0,0,0,0,0,0
204.1701,111,35,212,143,73,254,9,80,128
204.17085,101,0,0,0,0,0,0,0,0
204.3681,111,29,188,111,201,3,14,48,128
