"sample_index","file_name","timestamp","byte_4","byte_4_diff","driving_state"
"244","00000001-69B44F7F.MF4","51.29125","0","253.0","driving"
"245","00000001-69B44F7F.MF4","51.4893","255","255.0","driving"
"246","00000001-69B44F7F.MF4","51.6872","3","252.0","driving"
"247","00000001-69B44F7F.MF4","51.8852","0","3.0","idle"
"248","00000001-69B44F7F.MF4","52.08175","2","2.0","idle"
"249","00000001-69B44F7F.MF4","52.2797","253","251.0","driving"
"250","00000001-69B44F7F.MF4","52.478049999999996","253","0.0","idle"
"251","00000001-69B44F7F.MF4","52.67575","253","0.0","idle"
"252","00000001-69B44F7F.MF4","52.87375","253","0.0","idle"
"253","00000001-69B44F7F.MF4","53.071749999999994","1","252.0","driving"
"254","00000001-69B44F7F.MF4","53.269749999999995","255","254.0","driving"
"255","00000001-69B44F7F.MF4","53.46785","1","254.0","driving"
"256","00000001-69B44F7F.MF4","53.665749999999996","255","254.0","driving"
"257","00000001-69B44F7F.MF4","53.863749999999996","255","0.0","idle"
"258","00000001-69B44F7F.MF4","54.061749999999996","0","255.0","driving"
"259","00000001-69B44F7F.MF4","54.25975","254","254.0","driving"
"260","00000001-69B44F7F.MF4","54.457899999999995","0","254.0","driving"
"261","00000001-69B44F7F.MF4","54.65575","252","252.0","driving"
"262","00000001-69B44F7F.MF4","54.85375","251","1.0","idle"
"263","00000001-69B44F7F.MF4","55.05175","252","1.0","idle"
"264","00000001-69B44F7F.MF4","55.24975","255","3.0","idle"
"265","00000001-69B44F7F.MF4","55.447849999999995","4","251.0","driving"
"266","00000001-69B44F7F.MF4","55.64575","5","1.0","idle"
"267","00000001-69B44F7F.MF4","55.84375","1","4.0","idle"
"268","00000001-69B44F7F.MF4","56.04175","1","0.0","idle"
"269","00000001-69B44F7F.MF4","56.23975","253","252.0","driving"
"270","00000001-69B44F7F.MF4","56.43795","255","2.0","idle"
"271","00000001-69B44F7F.MF4","56.635749999999994","252","3.0","idle"
"272","00000001-69B44F7F.MF4","56.833749999999995","252","0.0","idle"
"273","00000001-69B44F7F.MF4","57.031749999999995","251","1.0","idle"
"274","00000001-69B44F7F.MF4","57.229749999999996","254","3.0","idle"
"275","00000001-69B44F7F.MF4","57.427899999999994","3","251.0","driving"
"276","00000001-69B44F7F.MF4","57.62575","5","2.0","idle"
"277","00000001-69B44F7F.MF4","57.82375","6","1.0","idle"
"278","00000001-69B44F7F.MF4","58.02175","3","3.0","idle"
"279","00000001-69B44F7F.MF4","58.21975","254","251.0","driving"
"280","00000001-69B44F7F.MF4","58.41795","249","5.0","idle"
"281","00000001-69B44F7F.MF4","58.61575","250","1.0","idle"
"282","00000001-69B44F7F.MF4","58.81375","253","3.0","idle"
"283","00000001-69B44F7F.MF4","59.01175","254","1.0","idle"
